Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,EPP,FEZ
2010/7/9,126,38.40000153,118.3600006,44.61999893,107.9599991,110.2300034,24.54000092,274.7200012,17.69333267,44.90999985,38.31999969,33.63999939
2010/7/12,125.4800034,38.20000076,117.3399963,44.75,108.0299988,110.2300034,24.48999977,270.2399902,17.46999931,43.84999847,38.13999939,33.47000122
2010/7/13,126.7300034,38.40000153,118.3600006,45.33000183,109.6600037,110.1999969,24.70000076,277.9200134,17.89333344,44.56999969,38.61999893,34.25999832
2010/7/14,126.9700012,38.68000031,118.3000031,45.56000137,109.6500015,110.2399979,24.98999977,277.2799988,17.87999916,44.38999939,38.70999908,34.34000015
2010/7/15,128.9100037,38.36000061,118.2300034,45.59999847,109.6800003,110.2099991,25.37000084,276.6400146,17.82333374,44.08000183,38.59999847,34.59000015
2010/7/16,128.8200073,37.40000153,116.6699982,44.34000015,106.6600037,110.2200012,25.27000046,273.2799988,17.26666641,42.90000153,37.54000092,33.5
2010/7/19,128.9799957,37.52000046,115.7300034,44.72000122,107.2900009,110.1999969,24.95999908,275.6799927,17.28000069,43.45000076,37.72999954,33.81999969
2010/7/20,128.4900055,37.75999832,116.6500015,45.25999832,108.4800034,110.2099991,24.79000092,278.5599976,17.4066658,44.59999847,38.81000137,33.68999863
2010/7/21,127.2699966,37.08000183,115.8499985,44.63999939,107.0699997,110.1999969,24.87000084,273.6000061,17.25666618,44.58000183,37.97999954,32.86999893
2010/7/22,128.4199982,37.75999832,116.8600006,45.77000046,109.4599991,110.2200012,25.01000023,283.3599854,17.62999916,46.04000092,38.97999954,34.34000015
2010/7/23,128.7200012,38.31999969,116.0899963,46.06000137,110.4100037,110.1999969,25.14999962,283.1199951,18.06666756,46.27000046,39.63999939,34.77000046
2010/7/26,129.5099945,38.36000061,115.5199966,46.43999863,111.5599976,110.1900024,24.97999954,282.7999878,18.80999947,46.47999954,40.15999985,35.18999863
