Date,coke,pepsi
3/11/1993,36,19.125
4/11/1993,35.125,18.9375
5/11/1993,34,19
8/11/1993,34.25,19.0625
9/11/1993,34.5,19.5
10/11/1993,36.75,19.8125
11/11/1993,36.75,19.75
12/11/1993,37.5,19.5
15/11/1993,36,19.9375
16/11/1993,36.5,20
17/11/1993,37,19.875
18/11/1993,36,20.1875
19/11/1993,36.25,20.0625
22/11/1993,35.5,19.8125
23/11/1993,36.5,19.6875
24/11/1993,37,20
26/11/1993,39.75,20.125
29/11/1993,39.5,19.9375
30/11/1993,39.25,20.125
1/12/1993,39.75,20
2/12/1993,38.5,20
3/12/1993,38.875,19.9375
6/12/1993,39.25,20.125
7/12/1993,38.75,20.3125
8/12/1993,38.25,20.3125
9/12/1993,38.5,20.25
10/12/1993,38.5,20.375
13/12/1993,39.25,20.5625
14/12/1993,38.75,20.3125
15/12/1993,38.75,20.375
16/12/1993,39.25,20.5
17/12/1993,38,20.4375
20/12/1993,37.25,20.4375
21/12/1993,37.5,20.5
22/12/1993,37,20.625
23/12/1993,36.25,20.9375
27/12/1993,36.5,20.875
28/12/1993,36.25,20.6875
29/12/1993,36.5,20.6875
30/12/1993,36.5,20.625
31/12/1993,36.5,20.4375
3/01/1994,36.25,20.3125
4/01/1994,36.5,20.0625
5/01/1994,34.5,19.875
6/01/1994,33.75,19.625
7/01/1994,33.25,20.0625
10/01/1994,35,20.4375
11/01/1994,34.75,20.3125
12/01/1994,34.375,20.125
13/01/1994,34.25,20
14/01/1994,35.75,20
17/01/1994,35.75,19.8125
18/01/1994,35.875,19.8125
19/01/1994,35.75,20.1875
20/01/1994,36.25,20
21/01/1994,36.25,20
24/01/1994,36.875,19.6875
25/01/1994,36.25,19.625
26/01/1994,37,19.5625
27/01/1994,34.75,20.125
28/01/1994,35,20.0625
31/01/1994,35,20.1875
1/02/1994,35,19.8125
2/02/1994,35,19.8125
3/02/1994,35.5,19.625
4/02/1994,34.5,19.125
7/02/1994,33.5,19.25
8/02/1994,33.5,19.25
9/02/1994,33.625,19.1875
10/02/1994,33,19.1875
11/02/1994,33,19.5
14/02/1994,32,19.3125
15/02/1994,32.75,19.375
16/02/1994,33.5,19.625
17/02/1994,31.125,19.25
18/02/1994,30,19.5
22/02/1994,32.375,19.8125
23/02/1994,32.5,19.8125
24/02/1994,32,19.4375
25/02/1994,31.75,19.375
28/02/1994,32.75,19.5625
1/03/1994,32.5,19.5625
2/03/1994,31.5,19.4375
3/03/1994,31.75,19.0625
4/03/1994,32.125,19
7/03/1994,32.5,18.75
8/03/1994,31.75,18.5625
9/03/1994,32.625,18.375
10/03/1994,32.5,18.25
11/03/1994,32.75,18.0625
14/03/1994,31.25,18
15/03/1994,31.75,18.4375
16/03/1994,31.5,18.625
17/03/1994,31.25,18.9375
