position,name,age,country,gender,wealthSource,industry,worth
1143,Oleg Tinkov,50,Russia,M,banking,Finance and Investments,2200
1145,Tung Chee Hwa,81,Hong Kong,M,shipping,Logistics,2200
1146,Ted Turner,79,United States,M,cable television,Media & Entertainment,2200
1147,Sunil Vaswani,54,United Kingdom,M,diversified,Diversified,2200
1148,Jitendra Virwani,52,India,M,real estate,Real Estate,2200
1149,Lang Walker,72,Australia,M,real estate,Real Estate,2200
1150,Wu Zhigang,83,China,M,bakery chain,Food and Beverage,2200
1151,Xiao Wenge,51,China,M,entertainment,Media & Entertainment,2200
1152,Xiong Xuqiang,61,Hong Kong,M,real estate,Real Estate,2200
1153,Takao Yasuda,69,Japan,M,retail,Fashion & Retail,2200
1154,William Young,77,United States,M,plastics,Manufacturing,2200
1156,Zhang Xiugen,57,China,M,automobiles,Automotive,2200
1157,Leslie Alexander,74,United States,M,sports team,Sports,2100
1158,Patricia Angelini Rossi,64,Chile,F,"forestry, mining",Diversified,2100
1159,Josef Boquoi,84,Germany,M,frozen foods,Food and Beverage,2100
1160,Nikolai Buinov,50,Russia,M,"oil, gas",Energy,2100
1161,Richard Chandler,59,New Zealand,M,investments,Finance and Investments,2100
1162,Cheng Xue,48,China,F,soy sauce,Food and Beverage,2100
1163,Patokh Chodiev,65,Belgium,M,"mining, metals",Metals & Mining,2100
1164,Choo Chong Ngen,65,Singapore,M,hotels,Real Estate,2100
1165,Todd Christopher,55,United States,M,hair care products,Fashion & Retail,2100
1166,John de Mol,63,Netherlands,M,television,Media & Entertainment,2100
1167,Bob Gaglardi,77,Canada,M,hotels,Real Estate,2100
1168,Gordon Getty,84,United States,M,Getty Oil,Energy,2100
1169,Philippe Ginestet,64,France,M,retail stores,Fashion & Retail,2100
1170,Sanjiv Goenka,57,India,M,diversified,Diversified,2100
1171,Alec Gores,65,United States,M,private equity,Finance and Investments,2100
1172,David Hains,87,Australia,M,Investment,Finance and Investments,2100
1173,Bahaa Hariri,52,Lebanon,M,"real estate, investments, logistics",Real Estate,2100
1174,William Heinecke,69,Thailand,M,hotels,Real Estate,2100
1175,Huang Hongyun,51,China,M,real estate,Real Estate,2100
1176,Huang Zhenda,70,China,M,construction,Construction & Engineering,2100
1177,Ravi Jaipuria,63,India,M,soft drinks,Food and Beverage,2100
1178,Jiang Yehua,55,China,M,real estate,Real Estate,2100
1179,Manuel Jove,77,Spain,M,real estate,Real Estate,2100
1180,Willibert Krueger,77,Germany,M,food processing,Food and Beverage,2100
1181,Kuok Khoon Hong,68,Singapore,M,palm oil,Manufacturing,2100
1182,Christian Latouche,77,France,M,accounting services,Finance and Investments,2100
1184,Li Hongxin,65,China,M,paper & related products,Manufacturing,2100
1185,Li Xiting,67,China,M,medical devices,Healthcare,2100
1186,Liang Yunchao,49,China,M,nutrition supplements,Food and Beverage,2100
1187,Brandt Louie,74,Canada,M,drugstores,Food and Beverage,2100
1188,Catherine Lozick,73,United States,F,valve manufacturing,Manufacturing,2100
1189,Igor Makarov,56,Russia,M,investments,Energy,2100
1190,Mao Lixiang,77,China,M,cooking appliances,Technology,2100
1191,Harsh Mariwala,67,India,M,consumer goods,Food and Beverage,2100
1192,Martin Moller Nielsen,53,Denmark,M,aircraft leasing,Logistics,2100
1193,David Murdock,95,United States,M,"Dole, real estate",Food and Beverage,2100
1194,N.R. Narayana Murthy,71,India,M,software services,Technology,2100
1195,Georg Nemetschek,84,Germany,M,software,Technology,2100
1196,Vikas Oberoi,47,India,M,real estate,Real Estate,2100
1197,Maja Oeri,63,Switzerland,F,Roche Holding,Healthcare,2100
1199,"H. Ross Perot, Jr.",59,United States,M,real estate,Real Estate,2100
1200,Tor Peterson,53,United States,M,commodities,Metals & Mining,2100
1201,Heloise Pratt,55,Australia,F,"manufacturing, investment",Manufacturing,2100
1202,Alexey Repik,38,Russia,M,pharmaceuticals,Healthcare,2100
1203,Shin Chang-Jae,64,South Korea,M,insurance,Finance and Investments,2100
1204,Kavitark Ram Shriram,61,United States,M,"venture capital, Google",Technology,2100
1205,Sylvia Stroeher,63,Germany,F,cosmetics,Fashion & Retail,2100
1206,Katsumi Tada,72,Japan,M,real estate,Real Estate,2100
1207,Tang Shing-bor,84,Hong Kong,M,real estate,Real Estate,2100
1208,Georg von Opel,52,Switzerland,M,"real estate, investments",Finance and Investments,2100
1209,David Walentas,79,United States,M,real estate,Real Estate,2100
1210,Ronald Wanek,77,United States,M,furniture,Manufacturing,2100
1211,Wang Changtian,53,China,M,"TV, movie production",Media & Entertainment,2100
1212,Wang Wenjing,53,China,M,business software,Technology,2100
1213,Ye Cheng,56,China,M,conglomerate,Diversified,2100
1214,Zhu Gongshan,60,China,M,solar panel materials,Manufacturing,2100
1215,Antti Aarnio-Wihuri,78,Finland,M,diversified,Diversified,2000
1216,S. Daniel Abraham,93,United States,M,Slim-Fast,Food and Beverage,2000
1217,Joao Alves de Queiroz Filho,65,Brazil,M,pharmaceuticals,Diversified,2000
1218,Mika Anttonen,51,Finland,M,oil & gas,Energy,2000
1219,Thor Bjorgolfsson,51,Iceland,M,investments,Diversified,2000
1220,Andrei Bokarev,51,Russia,M,"metals, mining",Manufacturing,2000
1221,Bernhard Braun-Luedicke,41,Germany,M,medical technology,Healthcare,2000
1222,Eva Maria Braun-Luedicke,31,Germany,F,medical technology,Healthcare,2000
1223,Friederike Braun-Luedicke,34,Germany,F,medical technology,Healthcare,2000
1224,Ron Burkle,65,United States,M,"supermarkets, investments",Finance and Investments,2000
1225,Vivek Chand Burman,81,India,M,consumer goods,Food and Beverage,2000
1226,Chen Yung-Tai,82,Taiwan,M,real estate,Real Estate,2000
1227,James Clark,74,United States,M,"Netscape, investments",Technology,2000
1228,Christopher Cline,59,United States,M,coal,Energy,2000
1229,Alexandra Daitch,55,United States,F,Cargill,Food and Beverage,2000
1230,Dong Wei,47,China,M,pharmaceuticals,Healthcare,2000
1232,Glenn Dubin,61,United States,M,hedge funds,Finance and Investments,2000
1233,Robert Duggan,74,United States,M,pharmaceuticals,Healthcare,2000
1234,Jayme Garfinkel,72,Brazil,M,insurance,Finance and Investments,2000
1235,Sam Goi,69,Singapore,M,frozen foods,Food and Beverage,2000
1236,Thomas Hagen,82,United States,M,insurance,Finance and Investments,2000
1237,Carlos Hank Rhon,70,Mexico,M,banking,Diversified,2000
1238,Christoph Henkel,60,Germany,M,consumer goods,Fashion & Retail,2000
1239,Hu Kaijun,56,China,M,pharmaceuticals,Healthcare,2000
1240,Huang Yi,56,Hong Kong,M,auto distribution,Automotive,2000
1241,Ramesh Juneja,62,India,M,pharmaceuticals,Healthcare,2000
